ImageFilename,OriginalSet,OriginalFilename,GlassDamage,WaterDamage,BumperDamage,RolledOver,SideDoorDamage,SlidOffRoad,Location,Time,Weather,RoadCondition,Bumps&Dings,EngineDamage,Severity,Notes
car-accident-00679.jpg,training,car-accident-00679.jpg,no,no,no,no,no,no,suburban,night,clear,dry,no,no,0,
car-accident-00573.jpg,training,no_damage_65.jpg,no,no,no,no,no,no,rural,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00289.jpg,training,high_damage_5.jpg,no,no,yes,no,yes,yes,rural,day,clear,snowy,yes,yes,3,"There is no sidedoor damage, but side mirrors are broken"
car-accident-00712.jpg,training,car-accident-00712.jpg,yes,no,yes,no,yes,no,rural,day,rainy,wet,yes,no,3,
car-accident-00571.jpg,training,no_damage_63.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,
car-accident-00661.png,training,car-accident-00661.png,no,no,yes,no,no,no,rural,night,clear,dry,yes,no,2,
car-accident-00707.jpg,training,car-accident-00707.jpg,no,no,yes,no,no,no,suburban,day,rainy,wet,yes,yes,3,
car-accident-00320.png,training,high_damage_36.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,3,"snow on ground, not on roads"
car-accident-00493.jpg,training,low_damage_48.jpg,no,no,yes,no,no,no,suburban,day,clear,snowy,yes,no,1,"The same photo as ""car-accident-00465"""
car-accident-00477.gif,training,low_damage_32.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,"The same photo as ""car-accident-00487"""
car-accident-00599.jpg,training,car-accident-00599.jpg,no,yes,no,no,no,no,urban,day,rainy,wet,no,no,0,part of the vehicle is under the water 
car-accident-00461.jpeg,training,low_damage_16.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00466.jpg,training,low_damage_21.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00278.jpg,training,extreme_damage_161.jpg,no,no,yes,no,no,no,rural,day,clear,dry,yes,no,4,
car-accident-00032.jpg,test,high_damage_6.jpg,no,no,yes,no,no,no,suburban,day,rainy,wet,yes,yes,3,more than one car shown in picture
car-accident-00023.png,test,extreme_damage_23.png,yes,no,yes,no,no,yes,suburban,day,clear,dry,yes,yes,4,
car-accident-00114.jpg,test,no_damage_17.jpg,no,no,no,no,no,no,rural,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00574.jpg,training,no_damage_66.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,
car-accident-00471.jpg,training,low_damage_26.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,"The same photo as ""car-accident-00455"""
car-accident-00249.jpg,training,extreme_damage_132.jpg,yes,no,yes,no,yes,no,suburban,day,clear,wet,yes,yes,4,more than one car shown in picture
car-accident-00077.jpeg,test,low_damage_0.jpeg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00251.jpg,training,extreme_damage_134.jpg,yes,no,yes,no,yes,no,urban,day,clear,dry,yes,yes,4,"more than one car shown in picture | The same photo as ""car-accident-00250"" "
car-accident-00290.jpg,training,high_damage_6.jpg,yes,no,yes,no,no,no,rural,day,clear,dry,yes,yes,3,
car-accident-00507.jpg,training,low_damage_62.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,"The same photo as ""car-accident-00455"" and ""car-accident-00471"""
car-accident-00048.jpg,test,moderate_damage_1.jpg,no,no,no,no,no,yes,rural,day,clear,dry,yes,no,2,more than one car shown in picture
car-accident-00578.jpeg,training,no_damage_70.jpg,no,no,no,no,no,no,rural,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00555.jpg,training,no_damage_47.jpg,no,no,no,no,no,no,urban,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00237.jpg,training,extreme_damage_120.jpg,yes,no,yes,no,yes,no,suburban,day,clear,dry,yes,yes,4,more than one car shown in picture 
car-accident-00069.jpg,test,moderate_damage_22.jpg,no,no,no,no,no,yes,rural,day,snowy,snowy,no,no,1,more than one car shown in picture
car-accident-00579.JPG,training,no_damage_71.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00688.jpg,training,car-accident-00688.jpg,no,yes,no,no,no,no,suburban,day,clear,wet,no,no,2,Half of the vehicle is under the water 
car-accident-00516.jpg,training,no_damage_8.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture | none of them are damaged
car-accident-00304.jpg,training,high_damage_20.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,3,more than one car shown in picture
car-accident-00314.jpg,training,high_damage_30.jpg,yes,no,yes,no,no,no,suburban,day,clear,dry,yes,no,3,more than one car shown in picture
car-accident-00377.jpg,training,moderate_damage_24.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,2,
car-accident-00080.JPG,test,low_damage_3.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00570.jpg,training,no_damage_62.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,
car-accident-00444.jpg,training,moderate_damage_91.jpg,no,no,no,no,no,yes,rural,day,snowy,snowy,no,no,2,
car-accident-00380.jpeg,training,moderate_damage_27.jpg,no,no,yes,no,no,no,rural,day,clear,dry,yes,yes,2,"more than one car shown in picture | classified the blue vehicle on right | the same photo as ""car-accident-00382"""
car-accident-00664.jpg,training,car-accident-00664.jpg,no,no,yes,no,no,no,suburban,night,clear,dry,yes,yes,3,
car-accident-00222.jpg,training,extreme_damage_104.jpg,yes,no,yes,no,yes,no,suburban,day,clear,dry,yes,yes,4,"low quality photo | the same photo as ""car-accident-00275"""
car-accident-00666.jpg,training,car-accident-00666.jpg,yes,no,yes,no,no,no,rural,night,clear,dry,yes,no,2,
car-accident-00042.jpg,test,high_damage_16.jpg,no,no,no,no,no,yes,rural,day,clear,dry,no,no,3,
car-accident-00221.jpg,training,extreme_damage_103.jpg,yes,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,more than one car shown in picture | classified the red pickup truck 
car-accident-00695.png,training,car-accident-00695.png,no,yes,no,no,no,no,urban,day,clear,wet,no,no,1,part of the vehicle is under the water 
car-accident-00240.jpg,training,extreme_damage_123.jpg,yes,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,more than one car shown in picture 
car-accident-00445.jpg,training,low_damage_0.jpg,no,no,no,no,no,no,suburban,day,clear,dry,yes,no,1,"The same photo as ""car-accident-00491"""
car-accident-00018.jpg,test,extreme_damage_18.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,"Did not slide off road, because located in open-space carpark and is blocking the way"
car-accident-00464.jpg,training,low_damage_19.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00025.jpg,test,extreme_damage_25.jpg,no,no,yes,no,yes,no,urban,day,clear,dry,yes,yes,4,
car-accident-00520.jpeg,training,no_damage_12.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture 
car-accident-00485.jpg,training,low_damage_40.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00218.jpg,training,extreme_damage_100.jpg,yes,no,yes,no,no,yes,rural,day,clear,snowy,yes,yes,4," the same photo as ""car-accident-00268"""
car-accident-00236.jpg,training,extreme_damage_119.jpg,yes,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,more than one car shown in picture 
car-accident-00522.jpg,training,no_damage_14.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture 
car-accident-00401.JPG,training,moderate_damage_48.jpg,no,no,yes,no,no,no,rural,day,rainy,wet,yes,no,1,more than one car shown in picture
car-accident-00088.jpg,test,low_damage_11.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00309.jpeg,training,high_damage_25.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,3,more than one car shown in picture | classfied the black vehicle on right
car-accident-00085.jpg,test,low_damage_8.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00055.jpeg,test,moderate_damage_8.jpeg,no,no,yes,no,yes,no,suburban,day,clear,dry,yes,no,3,
car-accident-00589.jpeg,training,car-accident-00589.jpeg,no,yes,no,no,no,no,rural,day,clear,wet,no,no,2,part of the vehicle is under the water 
car-accident-00682.jpg,training,car-accident-00682.jpg,no,yes,no,no,no,no,suburban,day,rainy,wet,no,yes,3,Half of the vehicle is under the water 
car-accident-00596.jpg,training,car-accident-00596.jpg,no,yes,no,no,no,no,suburban,day,clear,wet,no,yes,3,entire vehicle is under the water
car-accident-00543.jpg,training,no_damage_35.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more then one car shown in picture
car-accident-00228.jpg,training,extreme_damage_111.jpg,yes,no,yes,no,yes,no,suburban,day,clear,dry,yes,no,4,more than one car shown in picture 
car-accident-00381.jpg,training,moderate_damage_28.jpg,no,no,yes,no,no,no,rural,day,clear,dry,yes,yes,2,"more than one car shown in picture | classified the blue vehicle on left | the same photo as ""car-accident-379"" "
car-accident-00473.jpeg,training,low_damage_28.jpg,no,no,yes,no,no,no,rural,day,clear,dry,yes,no,1,
car-accident-00019.jpg,test,extreme_damage_19.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,yes,4,
car-accident-00472.jpg,training,low_damage_27.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00483.JPG,training,low_damage_38.jpg,no,no,yes,no,no,no,suburban,night,clear,dry,yes,no,1,
car-accident-00551.jpg,training,no_damage_43.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture 
car-accident-00500.jpeg,training,low_damage_55.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00074.jpg,test,moderate_damage_27.jpg,no,no,no,no,no,yes,rural,day,rainy,wet,no,no,1,
car-accident-00028.jpg,test,high_damage_2.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,yes,3,"Two cars in one picture, body of car not shown"
car-accident-00566.jpg,training,no_damage_58.jpg,no,no,no,no,no,no,suburban,day,clear,dry,no,no,0,more than one car shown in picture
car-accident-00398.jpg,training,moderate_damage_45.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,2,more than one car shown in picture 
car-accident-00291.jpg,training,high_damage_7.jpg,yes,no,yes,no,no,yes,suburban,day,clear,dry,yes,yes,3,
car-accident-00079.jpg,test,low_damage_2.jpg,no,no,no,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00704.jpg,training,car-accident-00704.jpg,no,no,yes,no,no,no,rural,day,rainy,wet,yes,yes,3,more than one car shown in photo | classified the honda on right
car-accident-00476.jpg,training,low_damage_31.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,no,1,
car-accident-00681.jpg,training,car-accident-00681.jpg,no,yes,no,no,no,no,suburban,day,rainy,wet,no,no,2,Half of the vehicle is under the water 
car-accident-00717.jpg,training,car-accident-00717.jpg,no,no,yes,no,no,no,suburban,day,rainy,wet,yes,no,2,
car-accident-00096.jpg,test,low_damage_19.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,no,1,
car-accident-00338.jpg,training,high_damage_54.jpg,no,yes,no,no,no,yes,rural,day,snowy,snowy,no,no,3,part of the vehicle is under the water 
